1;Producción y Servicios Especializados
2;Ganadería y Pastos
3;Administración Técnica
4;Suelos y Aguas
5;Cacao y Café
6;Producción y Servicios
7;Protección Vegetal
8;Banano, Plátano y Otras Musaceas
9;Recursos Fitogenéticos
10;Maíz
11;Biotecnología
12;Bodega
13;Informática
14;Administración Financiera
15;Núcleo de Transferencia de Tecnología Y Capacitación
16;Talento Humano
17;Dirección De Estación
18;Transferencia de Tecnología
19;Subdirección de Posicionamiento Estratégico
20;Planificación y Gestión Estratégica
21;Proyecto DAPME
